File,Description,Amount
"14_Feb_2026_-_13_Mar_2026.pdf","6061 Eastleigh          Eastleigh",14.98
"14_Jan_2026_-_13_Feb_2026.pdf","PAYMENT RECEIVED - THANK YOU",-852.96
"14_Jan_2026_-_13_Feb_2026.pdf","NETFLIX.COM 203832      LND",12.99
"14_Jan_2026_-_13_Feb_2026.pdf","SCREWFIX DIRECT LTD     YEOVIL",26.99
"14_Jan_2026_-_13_Feb_2026.pdf","Toolstation Eastleigh   Eastleigh",16.04
"14_Jan_2026_-_13_Feb_2026.pdf","DBZ MARKETPLACE ONLINE  MANCHESTER",59.69
"14_Jan_2026_-_13_Feb_2026.pdf","19 High Street GB000000 EASTLEIGH",10
"14_Jan_2026_-_13_Feb_2026.pdf","Toolstation Eastleigh   Eastleigh",35.24
"14_Jan_2026_-_13_Feb_2026.pdf","Toolstation Eastleigh   Eastleigh",10.7
"14_Jan_2026_-_13_Feb_2026.pdf","Toolstation Eastleigh   Eastleigh",8.71
"14_Jan_2026_-_13_Feb_2026.pdf","B&Q EASTLEIGH 1031      EASTLEIGH ESH182 - Eastleigh",36.25
"14_Jan_2026_-_13_Feb_2026.pdf","CHA SHA                 SOUTHAMPTON 7126768233 CHA SHA BRHGNY41P9AYT RETAIL",18
"14_Jan_2026_-_13_Feb_2026.pdf","SCREWFIX DIRECT LTD     YEOVIL",26.97
"14_Jan_2026_-_13_Feb_2026.pdf","L2E951900013A UKVI      UKVI",1324
"14_Jan_2026_-_13_Feb_2026.pdf","Toolstation Eastleigh   Eastleigh",46.4
"14_Jan_2026_-_13_Feb_2026.pdf","ROOSTERS PIRI PIRI-EAST EASTLEIGH",5.99
"14_Jan_2026_-_13_Feb_2026.pdf","Toolstation Eastleigh   Eastleigh",-0.46
"14_Jan_2026_-_13_Feb_2026.pdf","TOOLSTATION UK          NORTHAMPTON",29.8
"14_Jan_2026_-_13_Feb_2026.pdf","WH SMITH HEATHROW T2    HOUNSLOW GOODS",3.99
"14_Jan_2026_-_13_Feb_2026.pdf","Toolstation Eastleigh   Eastleigh",8
"14_Jan_2026_-_13_Feb_2026.pdf","Toolstation Eastleigh   Eastleigh",7.59
"14_Jan_2026_-_13_Feb_2026.pdf","SHAN SHUI               HOUNSLOW",44.89
"14_Jan_2026_-_13_Feb_2026.pdf","CURRYS CURRYS           UNITED KINGDOM",359
"14_Jan_2026_-_13_Feb_2026.pdf","WOLSELEY EASTLEIGH      BOYATT WOOD IND GOODS",20.89
"14_Jan_2026_-_13_Feb_2026.pdf","Toolstation Eastleigh   Eastleigh",2.93
"14_Jan_2026_-_13_Feb_2026.pdf","Toolstation Eastleigh   Eastleigh",-2.93
"14_Jan_2026_-_13_Feb_2026.pdf","Toolstation Eastleigh   Eastleigh",12.89
"14_Jan_2026_-_13_Feb_2026.pdf","Toolstation Eastleigh   Eastleigh",28.28
"14_Jan_2026_-_13_Feb_2026.pdf","TESCO STORE 2452 2452TE EASTLEIGH",6.34
"14_Jan_2026_-_13_Feb_2026.pdf","LEBARA MOBILE LIMITED   LONDON",10
"14_Jan_2026_-_13_Feb_2026.pdf","CEF (EASTLEIGH)         EASTLEIGH",73.16
"14_Jan_2026_-_13_Feb_2026.pdf","Toolstation Eastleigh   Eastleigh",0.48
"14_Jan_2026_-_13_Feb_2026.pdf","Toolstation Eastleigh   Eastleigh",-7.59
"14_Jan_2026_-_13_Feb_2026.pdf","Toolstation Eastleigh   Eastleigh",-11.39
"14_Jan_2026_-_13_Feb_2026.pdf","Toolstation Eastleigh   Eastleigh",39.78
"14_Jan_2026_-_13_Feb_2026.pdf","Toolstation Eastleigh   Eastleigh",8.67
"14_Jan_2026_-_13_Feb_2026.pdf","3CPAYMENT*TIMPSONEASTLE EASTLEIGH",15
"14_Jan_2026_-_13_Feb_2026.pdf","Toolstation Eastleigh   Eastleigh",8.55
"14_Jan_2026_-_13_Feb_2026.pdf","Toolstation Eastleigh   Eastleigh",-2.77
"14_Jan_2026_-_13_Feb_2026.pdf","B&Q EASTLEIGH 1031      EASTLEIGH ESH182 - Eastleigh",5.91
"14_Jan_2026_-_13_Feb_2026.pdf","Toolstation Eastleigh   Eastleigh",46.85
"14_Jan_2026_-_13_Feb_2026.pdf","Toolstation Eastleigh   Eastleigh",-21.83
"14_Jan_2026_-_13_Feb_2026.pdf","ARGOS 522975            MILTON KEYNES",40
"14_Jul_2025_-_13_Aug_2025.pdf","PAYMENT RECEIVED - THANK YOU",-2858.01
"14_Jul_2025_-_13_Aug_2025.pdf","SULTAN-SOUTHAMPTON SULT SOUTHAMPTON",27.65
"14_Jul_2025_-_13_Aug_2025.pdf","MCDONALD'S (313)        EASTLEIGH GOODS",17.68
"14_Jul_2025_-_13_Aug_2025.pdf","JD Wetherspoons PLC     Watford,",11.72
"14_Jul_2025_-_13_Aug_2025.pdf","Crib                    Southampton",23.4
"14_Jul_2025_-_13_Aug_2025.pdf","JD Wetherspoons PLC     Watford,",10.19
"14_Jul_2025_-_13_Aug_2025.pdf","WAGON WORKS             EASTLEIGH WAGON WORKS 6147",2.99
"14_Jul_2025_-_13_Aug_2025.pdf","LIDL SOU EASTLEIGH 0380 EASTLEIGH LIDL-STORES",36.6
"14_Jul_2025_-_13_Aug_2025.pdf","NETFLIX.COM             18665797172",12.99
"14_Jul_2025_-_13_Aug_2025.pdf","ZETTLE *ADEM_S CHEF LIM EASTLEIGH",11.5
"14_Jul_2025_-_13_Aug_2025.pdf","TK MAXX                 EASTLEIGH",34.99
"14_Jul_2025_-_13_Aug_2025.pdf","VUE ENTERTAINMENT LTD   LONDON",11.19
"14_Jul_2025_-_13_Aug_2025.pdf","TESCO STORE 2452 2452TE EASTLEIGH",6
"14_Jul_2025_-_13_Aug_2025.pdf","JD Wetherspoons PLC     Watford,",11.72
"14_Jul_2025_-_13_Aug_2025.pdf","WH SMITH  0785 311S     FLEET WELBRK-STORES",4
"14_Jul_2025_-_13_Aug_2025.pdf","6061 Eastleigh          Eastleigh",12
"14_Jul_2025_-_13_Aug_2025.pdf","POST OFFICE EASTLEIGH   EASTLEIGH",20.7
"14_Jul_2025_-_13_Aug_2025.pdf","SCREWFIX DIRECT LTD     YEOVIL",25.98
"14_Jul_2025_-_13_Aug_2025.pdf","Toolstation Southampton Southampton",21.02
"14_Jul_2025_-_13_Aug_2025.pdf","JD Wetherspoons PLC     Watford,",22.46
"14_Jul_2025_-_13_Aug_2025.pdf","B&Q EASTLEIGH 1031      EASTLEIGH ESH182 - Eastleigh",17.6
"14_Jul_2025_-_13_Aug_2025.pdf","LIDL SOU EASTLEIGH 0380 EASTLEIGH LIDL-STORES",33.95
"14_Jul_2025_-_13_Aug_2025.pdf","JD Wetherspoons PLC     Watford,",8.41
"14_Jul_2025_-_13_Aug_2025.pdf","S0679 - EASTLEIGH S0679 Eastleigh",5.75
"14_Jul_2025_-_13_Aug_2025.pdf","S0679 - EASTLEIGH S0679 Eastleigh",7.5
"14_Jul_2025_-_13_Aug_2025.pdf","POST OFFICE EASTLEIGH   EASTLEIGH",8.75
"14_Jul_2025_-_13_Aug_2025.pdf","JD Wetherspoons PLC     Watford,",11.72
"14_Jul_2025_-_13_Aug_2025.pdf","ROOSTERS PIRI PIRI-EAST EASTLEIGH",43.93
"14_Jul_2025_-_13_Aug_2025.pdf","TESCO STORE 2452 2452TE EASTLEIGH",6.12
"14_Jul_2025_-_13_Aug_2025.pdf","UBER EATS               HTTPS://HELP.UB",27.95
"14_Jul_2025_-_13_Aug_2025.pdf","TESCO STORE 2452 2452TE EASTLEIGH",2.64
"14_Jul_2025_-_13_Aug_2025.pdf","LIDL SOU EASTLEIGH 0380 EASTLEIGH LIDL-STORES",18.17
"14_Jul_2025_-_13_Aug_2025.pdf","CARDMEMBERSHIP FEE",195
"14_Jun_2025_-_13_Jul_2025.pdf","PAYMENT RECEIVED - THANK YOU",-18.27
"14_Jun_2025_-_13_Jul_2025.pdf","Virgin Atlantic Airways Crawley ROUTING:    FROM:     DELHI",360.8
"14_Jun_2025_-_13_Jul_2025.pdf","MAKEMYTRIP INDIA PRIVAT GURGAON INDIAN RUPEE 64,071.00",568.48
"14_Jun_2025_-_13_Jul_2025.pdf","MOUSER ELECTRONICS, INC MANSFIELD",28.68
"14_Jun_2025_-_13_Jul_2025.pdf","BH*TWG~IGI~AIRPORT      NEW DELHI INDIAN RUPEE 10,616.40",93.2
"14_Jun_2025_-_13_Jul_2025.pdf","Duke of Wellington      Southampton",27.4
"14_Jun_2025_-_13_Jul_2025.pdf","Sanjha Restaurant and T Southampton",114.55
"14_Jun_2025_-_13_Jul_2025.pdf","LIDL SOU EASTLEIGH 0380 EASTLEIGH LIDL-STORES",44.52
"14_Jun_2025_-_13_Jul_2025.pdf","ROOSTERS PIRI PIRI-EAST EASTLEIGH",18.42
"14_Jun_2025_-_13_Jul_2025.pdf","TESCO STORE 2452 2452TE EASTLEIGH",7.5
"14_Jun_2025_-_13_Jul_2025.pdf","THE GOOD BOX CO LABS LT ALTRINCHAM",3
"14_Jun_2025_-_13_Jul_2025.pdf","TEYA*JAS DIL CONVENIENC EASTLEIGH",13.54
"14_Jun_2025_-_13_Jul_2025.pdf","COMPANIES HOUSE COMPANI UNITED KINGDOM",50
"14_Jun_2025_-_13_Jul_2025.pdf","LAND* TITLE DOCUMENTS   SHERIDAN",20
"14_Jun_2025_-_13_Jul_2025.pdf","SAINSBURY'S SUPERMARKET EASTLEIGH GOODS",13.6
"14_Jun_2025_-_13_Jul_2025.pdf","GOOD EARTH GOOD EARTH   EASTLEIGH",15.6
"14_Jun_2025_-_13_Jul_2025.pdf","DINO DECKING DINO DECKI UNITED KINGDOM",64.95
"14_Jun_2025_-_13_Jul_2025.pdf","Costco Wholesale #124   Southampton",57.15
"14_Jun_2025_-_13_Jul_2025.pdf","Costco Wholesale #124   Southampton",24.34
"14_Jun_2025_-_13_Jul_2025.pdf","NETFLIX.COM 203832      LND",12.99
"14_Jun_2025_-_13_Jul_2025.pdf","SANTO LOUNGE            SOUTHAMPTON",15.3
"14_Jun_2025_-_13_Jul_2025.pdf","GERMAN DONER KEBAB SOUT Southampton",11.47
"14_Jun_2025_-_13_Jul_2025.pdf","POST OFFICE EASTLEIGH   EASTLEIGH",8.75
"14_Jun_2025_-_13_Jul_2025.pdf","LIDL SOU EASTLEIGH 0380 EASTLEIGH LIDL-STORES",22.03
"14_Jun_2025_-_13_Jul_2025.pdf","POST OFFICE EASTLEIGH   EASTLEIGH",8.75
"14_Jun_2025_-_13_Jul_2025.pdf","W H SMITH               EASTLEIGH GOODS",7.99
"14_Jun_2025_-_13_Jul_2025.pdf","POST OFFICE EASTLEIGH   EASTLEIGH",13.5
"14_Jun_2025_-_13_Jul_2025.pdf","ENTERPRISE RENT A CAR U EASTLEIGH",73.36
"14_Jun_2025_-_13_Jul_2025.pdf","ASDA FILLING STATION (U EASTLEIGH ASDA Fuel",39.63
"14_Jun_2025_-_13_Jul_2025.pdf","LIDL SOU EASTLEIGH 0380 EASTLEIGH LIDL-STORES",13.74
"14_Jun_2025_-_13_Jul_2025.pdf","Toolstation Eastleigh   Eastleigh",8.38
"14_Jun_2025_-_13_Jul_2025.pdf","PAYPAL *EBAY UK         4029357733",222.32
"14_Jun_2025_-_13_Jul_2025.pdf","PAYPAL *EBAY UK         4029357733",222.66
"14_Jun_2025_-_13_Jul_2025.pdf","Toolstation Eastleigh   Eastleigh",11.98
"14_Jun_2025_-_13_Jul_2025.pdf","B&Q EASTLEIGH 1031      EASTLEIGH ESH182 - Eastleigh",5
"14_Jun_2025_-_13_Jul_2025.pdf","B&Q EASTLEIGH 1031      EASTLEIGH ESH182 - Eastleigh",93
"14_Jun_2025_-_13_Jul_2025.pdf","Costco Wholesale #124   Southampton",78
"14_Jun_2025_-_13_Jul_2025.pdf","B&Q EASTLEIGH 1031      EASTLEIGH ESH182 - Eastleigh",11.5
"14_Jun_2025_-_13_Jul_2025.pdf","Toolstation Eastleigh   Eastleigh",8.48
"14_Mar_2026_-_13_Apr_2026.pdf","PAYMENT RECEIVED - THANK YOU",-106.99
"14_Mar_2026_-_13_Apr_2026.pdf","NETFLIX.COM             LONDON",12.99
"14_Mar_2026_-_13_Apr_2026.pdf","LINKEDIN P834033103     DUBLIN",14.99
"14_Mar_2026_-_13_Apr_2026.pdf","TEMU.COM                LONDON",-1.41
"14_Mar_2026_-_13_Apr_2026.pdf","LEBARA MOBILE LIMITED   LONDON",12.5
"14_Mar_2026_-_13_Apr_2026.pdf","LEBARA MOBILE LIMITED   LONDON",10
"14_Mar_2026_-_13_Apr_2026.pdf","CKO*TEMU 626864         LONDON",5
"14_Mar_2026_-_13_Apr_2026.pdf","CKO*TEMU 626864         LONDON",-5
"14_Mar_2026_-_13_Apr_2026.pdf","B&Q EASTLEIGH 1031      EASTLEIGH ESH182 - Eastleigh",34.19
"14_May_2025_-_13_Jun_2025.pdf","PAYMENT RECEIVED - THANK YOU",-76.93
"14_May_2025_-_13_Jun_2025.pdf","SAINSBURY'S SUPERMARKET EASTLEIGH GOODS",4
"14_May_2025_-_13_Jun_2025.pdf","LIDL SOU EASTLEIGH 0380 EASTLEIGH LIDL-STORES",21.36
"14_May_2025_-_13_Jun_2025.pdf","LIDL SOU EASTLEIGH 0380 EASTLEIGH LIDL-STORES",8.75
"14_May_2025_-_13_Jun_2025.pdf","TESCO STORE 2452 2452TE EASTLEIGH",7.11
"14_May_2025_-_13_Jun_2025.pdf","Toolstation Eastleigh   Eastleigh",14.99
"14_May_2025_-_13_Jun_2025.pdf","LIDL SOU EASTLEIGH 0380 EASTLEIGH LIDL-STORES",18.27
"14_Nov_2025_-_13_Dec_2025.pdf","PAYMENT RECEIVED - THANK YOU",-789.68
"14_Nov_2025_-_13_Dec_2025.pdf","NETFLIX.COM 203832      LND",12.99
"14_Nov_2025_-_13_Dec_2025.pdf","MCDONALD'S (313)        EASTLEIGH GOODS",7.79
"14_Nov_2025_-_13_Dec_2025.pdf","MCDONALD'S (313)        EASTLEIGH GOODS",6.09
"14_Nov_2025_-_13_Dec_2025.pdf","DOJO*THE OVEN DOOR      EASTLEIGH",3.7
"14_Nov_2025_-_13_Dec_2025.pdf","JD Wetherspoons PLC     Watford,",10.52
"14_Nov_2025_-_13_Dec_2025.pdf","844043 Eastleigh        Eastleigh",3.8
"14_Nov_2025_-_13_Dec_2025.pdf","DOMINOS PIZZA EASTLEIGH EASTLEIGH",22.08
"14_Nov_2025_-_13_Dec_2025.pdf","IKEA LTD 125 SOUTHAMPTO SOUTHAMPTON GOODS",349
"14_Nov_2025_-_13_Dec_2025.pdf","IKEA LTD 125 SOUTHAMPTO SOUTHAMPTON GOODS",36
"14_Nov_2025_-_13_Dec_2025.pdf","ENTERPRISE RENT A CAR U EASTLEIGH",142.92
"14_Nov_2025_-_13_Dec_2025.pdf","SAINSBURY'S SUPERMARKET EASTLEIGH GOODS",9
"14_Nov_2025_-_13_Dec_2025.pdf","NANDOS.CO.UK            LONDON",19.15
"14_Nov_2025_-_13_Dec_2025.pdf","35 High Street GB000000 EASTLEIGH",4
"14_Nov_2025_-_13_Dec_2025.pdf","TK MAXX                 EASTLEIGH",3.99
"14_Nov_2025_-_13_Dec_2025.pdf","TK MAXX                 EASTLEIGH",18.97
"14_Nov_2025_-_13_Dec_2025.pdf","TANDOOR COTTAGE         STURMINSTER N",45.75
"14_Nov_2025_-_13_Dec_2025.pdf","LIDL SOU EASTLEIGH 0380 EASTLEIGH LIDL-STORES",37.4
"14_Nov_2025_-_13_Dec_2025.pdf","SUMUP*A&S HOLLAND_S AMU ATHERTON",15
"14_Nov_2025_-_13_Dec_2025.pdf","SUMUP*THE PLACE FOR TAS LINGFIELD",12
"14_Nov_2025_-_13_Dec_2025.pdf","LS TAP AND TANDOOR      SOUTHAMPTON",35.64
"14_Nov_2025_-_13_Dec_2025.pdf","THOMSON FUNPARK LTD THO GLASGOW",25
"14_Nov_2025_-_13_Dec_2025.pdf","19 High Street GB000000 EASTLEIGH",30
"14_Nov_2025_-_13_Dec_2025.pdf","TESCO STORE 2452 2452TE EASTLEIGH",8.45
"14_Nov_2025_-_13_Dec_2025.pdf","BOOTS THE CHEMIST       EASTLEIGH MERCHANDISE",7.65
"14_Nov_2025_-_13_Dec_2025.pdf","MCDONALD'S (313)        EASTLEIGH GOODS",5.29
"14_Nov_2025_-_13_Dec_2025.pdf","LIDL SOU EASTLEIGH 0380 EASTLEIGH LIDL-STORES",2.07
"14_Nov_2025_-_13_Dec_2025.pdf","NANDOS.CO.UK            LONDON",33.95
"14_Nov_2025_-_13_Dec_2025.pdf","LIDL SOU EASTLEIGH 0380 EASTLEIGH LIDL-STORES",5.88
"14_Nov_2025_-_13_Dec_2025.pdf","MCDONALD'S (313)        EASTLEIGH GOODS",5.29
"14_Nov_2025_-_13_Dec_2025.pdf","B&Q EASTLEIGH 1031      EASTLEIGH ESH182 - Eastleigh",73.15
"14_Nov_2025_-_13_Dec_2025.pdf","6061 Eastleigh          Eastleigh",3.49
"14_Nov_2025_-_13_Dec_2025.pdf","LEBARA MOBILE LIMITED   LONDON",10
"14_Nov_2025_-_13_Dec_2025.pdf","TEMU.COM                LONDON",-1.29
"14_Nov_2025_-_13_Dec_2025.pdf","TEMU.COM                LONDON",-7.61
"14_Oct_2025_-_13_Nov_2025.pdf","PAYMENT RECEIVED - THANK YOU",-1570.17
"14_Oct_2025_-_13_Nov_2025.pdf","NETFLIX.COM 203832      LND",12.99
"14_Oct_2025_-_13_Nov_2025.pdf","LAWHIVE.CO.UK           LONDON",-0.01
"14_Oct_2025_-_13_Nov_2025.pdf","L2E942100149O UKVI      UKVI",574
"14_Oct_2025_-_13_Nov_2025.pdf","LIDL SOU EASTLEIGH 0380 EASTLEIGH LIDL-STORES",23.71
"14_Oct_2025_-_13_Nov_2025.pdf","TEMU.COM                LONDON",54.74
"14_Oct_2025_-_13_Nov_2025.pdf","Costco Wholesale #124   Southampton",16.45
"14_Oct_2025_-_13_Nov_2025.pdf","TEMU.COM                LONDON",-6.49
"14_Oct_2025_-_13_Nov_2025.pdf","B&Q EASTLEIGH 1031      EASTLEIGH ESH182 - Eastleigh",25
"14_Oct_2025_-_13_Nov_2025.pdf","LEBARA MOBILE LIMITED   LONDON",10
"14_Oct_2025_-_13_Nov_2025.pdf","TRAINLINE Trainline     LONDON",36.6
"14_Oct_2025_-_13_Nov_2025.pdf","TFL TRAVEL CHARGE       TFL.GOV.UK/CP",12.6
"14_Oct_2025_-_13_Nov_2025.pdf","WICKES BUILDING SUPPLIE SOUTHAMPTON Wickes - 8328 Southampton Extr",18.5
"14_Oct_2025_-_13_Nov_2025.pdf","POUNDLAND LTD - 2143    SOUTHAMPTON",2
"14_Oct_2025_-_13_Nov_2025.pdf","3CPAYMENT*TIMPSONEASTLE EASTLEIGH",12
"14_Sep_2025_-_13_Oct_2025.pdf","PAYMENT RECEIVED - THANK YOU",-397.58
"14_Sep_2025_-_13_Oct_2025.pdf","NETFLIX.COM 203832      LND",12.99
"14_Sep_2025_-_13_Oct_2025.pdf","JD Wetherspoons PLC     Watford,",2.99
"14_Sep_2025_-_13_Oct_2025.pdf","TESCO STORE 6795 6795TE EASTLEIGH",11.15
"14_Sep_2025_-_13_Oct_2025.pdf","JD Wetherspoons PLC     Watford,",10.39
"14_Sep_2025_-_13_Oct_2025.pdf","TESCO STORE 2452 2452TE EASTLEIGH",4.45
"14_Sep_2025_-_13_Oct_2025.pdf","TESCO STORE 2452 2452TE EASTLEIGH",3.45
"14_Sep_2025_-_13_Oct_2025.pdf","TESCO STORE 2452 2452TE EASTLEIGH",4.35
"14_Sep_2025_-_13_Oct_2025.pdf","MCDONALD'S (313)        EASTLEIGH GOODS",5.19
"14_Sep_2025_-_13_Oct_2025.pdf","JD Wetherspoons PLC     Watford,",4.7
"14_Sep_2025_-_13_Oct_2025.pdf","MCDONALD'S (313)        EASTLEIGH GOODS",7.19
"14_Sep_2025_-_13_Oct_2025.pdf","TESCO STORE 2452 2452TE EASTLEIGH",6.07
"14_Sep_2025_-_13_Oct_2025.pdf","MCDONALD'S (313)        EASTLEIGH GOODS",4.78
"14_Sep_2025_-_13_Oct_2025.pdf","BHAGEECHA               ELSTREE",59.21
"14_Sep_2025_-_13_Oct_2025.pdf","B & M RETAIL LTD        BASINGSTOKE",682.47
